Data,Ora,Prodotto,ISIN,Borsa di riferimento,Borsa,Quantità,Quotazione,,Valore locale,,Valore CHF,Tasso di cambio,Commissione AutoFX,Costi di transazione e/o di terze parti CHF,Totale CHF,ID Ordine
29-07-2025,15:12,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,19,120.6800,USD,-2292.92,USD,-1851.74,1.2383,-4.63,,-1856.37,4737cced-6016-4749-87fd-8fe3511dec31
29-07-2025,14:33,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,2,120.6800,USD,-241.36,USD,-194.82,1.2389,-0.49,-2.80,-198.10,4737cced-6016-4749-87fd-8fe3511dec31
30-06-2025,15:35,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,21,117.6200,USD,-2470.02,USD,-1970.30,1.2536,-4.93,-2.81,-1978.03,7a82b585-55a7-44a4-b912-8dc3890ddfe1
28-05-2025,09:29,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,21,113.0000,USD,-2373.00,USD,-1962.07,1.2094,-4.91,-2.81,-1969.78,aafc2c1f-84bb-4ba2-9904-84badd7cda0a
28-04-2025,09:00,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,23,105.5600,USD,-2427.88,USD,-2016.96,1.2037,-5.04,-2.83,-2024.83,3dfc2910-6f09-4505-a648-97a4977b8fec
08-04-2025,09:37,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,180,97.0700,USD,-17472.60,USD,-14989.59,1.1656,-37.47,-2.83,-15029.89,ea445540-7a94-4b98-bd3e-b0db7801b5b8
28-03-2025,15:39,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,21,106.2200,USD,-2230.62,USD,-1964.51,1.1355,-4.91,-2.87,-1972.29,f5e918bc-58b5-4bae-96c8-87d727eeef4e
28-02-2025,09:11,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,20,109.3800,USD,-2187.60,USD,-1971.55,1.1096,-4.93,-2.82,-1979.29,94574d05-e138-4d30-add7-c892396d5811
03-02-2025,09:25,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,20,109.5000,USD,-2190.00,USD,-2009.69,1.0897,-5.02,-2.83,-2017.54,8e45f501-b7a1-4a86-95df-7d6e33eff0e6
03-01-2025,09:00,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,20,107.8600,USD,-2157.20,USD,-1963.54,1.0986,-4.91,-2.81,-1971.26,75e46ce3-7238-4047-882e-34d0fc2b8a36
28-11-2024,12:45,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,21,110.0600,USD,-2311.26,USD,-2043.17,1.1312,-5.11,-2.81,-2051.09,1268a94c-7db4-4c29-9b6c-0db1f32e487c
28-10-2024,14:45,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,23,107.8600,USD,-2480.78,USD,-2147.62,1.1551,-5.37,-2.82,-2155.81,2060df56-e358-4390-b586-92bae7e1c995
30-09-2024,15:24,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,20,107.4200,USD,-2148.40,USD,-1811.68,1.1859,-4.53,-2.83,-1819.04,b04740b8-f1a0-4c71-bd12-d7187b58e8c1
31-07-2023,16:37,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,53,87.1800,USD,-4620.54,USD,-4009.13,1.1525,-10.02,-2.88,-4022.03,a7788699-0b88-4c09-8282-2236f4017b39
30-06-2023,13:11,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,26,83.7500,USD,-2177.50,USD,-1961.39,1.1102,-4.90,-2.94,-1969.23,f9c19067-66ac-47ec-92c5-08616607f502
31-05-2023,16:58,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,MSEU,27,79.3500,USD,-2142.45,USD,-1958.16,1.0941,-4.90,-2.93,-1965.99,c22b8259-0bc5-48a8-aa88-b1958d03396c
28-04-2023,10:25,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,31,79.4100,USD,-2461.71,USD,-2207.64,1.1151,-5.52,-2.96,-2216.12,b76c06fd-fd09-4ef5-b30e-5cc7f9457d5c
28-03-2023,10:43,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,29,76.4800,USD,-2217.92,USD,-2033.55,1.0907,-5.08,-2.98,-2041.61,fe3e2c94-9f4e-4f1a-8ff0-771e9bc8ecb1
28-02-2023,09:37,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,27,76.4700,USD,-2064.69,USD,-1936.79,1.0660,-4.84,-2.99,-1944.62,e2cba7a4-66c3-45fe-a6dc-c822d8357cb9
30-01-2023,09:43,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,28,78.0500,USD,-2185.40,USD,-2014.12,1.0850,-5.04,-3.02,-2022.18,59459967-4f4e-40a3-baf1-d0724e06eb5d
28-12-2022,13:41,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,29,73.4400,USD,-2129.76,USD,-1973.39,1.0792,-4.93,-2.97,-1981.29,d38a632f-f84c-4cab-b31d-0bf5797608a3
28-11-2022,09:49,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,27,75.6700,USD,-2043.09,USD,-1924.94,1.0614,-4.81,-2.95,-1932.70,2e99728e-127a-49ad-9d85-9578fc0405b0
28-10-2022,09:46,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,14,70.0200,USD,-980.28,USD,-975.46,1.0049,-2.44,-2.98,-980.87,8685b448-26a0-46ea-a967-00dcefe92446
28-09-2022,12:50,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,15,67.0300,USD,-1005.45,USD,-994.63,1.0109,-2.49,-2.85,-999.97,9063bf2e-f2d2-41f3-bf61-9a9843933ea7
29-08-2022,10:49,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,12,74.5300,USD,-894.36,USD,-867.16,1.0314,-2.17,-2.41,-871.74,d523ee4e-4b95-4956-8269-646a79e3a5c1
28-07-2022,09:32,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,14,74.8500,USD,-1047.90,USD,-1006.15,1.0415,-2.52,-2.45,-1011.11,ff93bc96-5108-4f0f-b654-a7ab681baf4d
28-06-2022,09:21,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,16,73.6700,USD,-1178.72,USD,-1126.30,1.0465,-2.82,-2.54,-1131.65,6b999d30-3c43-4730-8455-db50d763bdbd
31-05-2022,09:38,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,12,78.1500,USD,-937.80,USD,-901.31,1.0405,-2.25,-2.59,-906.15,2f3a72d6-d3c1-4b75-b09d-7e45dd597c8b
28-04-2022,12:47,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,14,79.0500,USD,-1106.70,USD,-1076.17,1.0284,-2.69,-2.56,-1081.42,4fca2d45-3628-428f-9361-dd3d124d7563
28-03-2022,16:09,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,TRQX,13,84.6800,USD,-1100.84,USD,-1029.53,1.0693,-2.57,-2.57,-1034.67,5694b7eb-900d-460c-b497-af22c3060895
28-02-2022,10:16,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,13,81.4500,USD,-1058.85,USD,-979.39,1.0811,-2.45,-2.59,-984.43,e9014fad-7bce-4492-b2a2-19d3762051e5
28-01-2022,09:54,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,13,81.7800,USD,-1063.14,USD,-990.19,1.0737,-2.48,-2.60,-995.26,be192695-da7d-49a3-8e6e-b8fa052fbd00
28-12-2021,11:47,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,12,89.9500,USD,-1079.40,USD,-989.27,1.0911,-2.47,-2.60,-994.34,bf80ffa6-b9c8-4291-982b-3a38e6720047
29-11-2021,10:38,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,12,86.8400,USD,-1042.08,USD,-963.11,1.0820,-0.96,-2.38,-966.45,eb00fbe3-980a-4ed3-95e1-80661be4d3ab
28-10-2021,10:05,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,13,86.9700,USD,-1130.61,USD,-1036.75,1.0905,-1.04,-2.44,-1040.23,77e7a3cf-0047-45ae-aab4-44d7b97728c1
28-09-2021,09:28,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,13,84.7400,USD,-1101.62,USD,-1022.94,1.0769,-1.02,-2.48,-1026.44,dd15d590-d12f-4948-b772-679e51c4cb6b
30-08-2021,09:59,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,12,86.4100,USD,-1036.92,USD,-947.22,1.0947,-0.95,-2.44,-950.60,046cf529-0a38-49e8-b0b9-e62f8aad4a0b
28-07-2021,12:00,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,XSWX,13,84.5600,USD,-1099.28,USD,-1005.15,1.0937,-1.01,-2.46,-1008.61,c726b227-be98-475d-a069-18b7800b5837
01-07-2021,13:55,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,HRSI,13,83.0700,USD,-1079.91,USD,-998.97,1.0810,-1.00,-2.50,-1002.47,713ba63f-9879-4580-a551-fce6d341f77f
14-06-2021,12:49,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,HRSI,16,82.9500,USD,-1327.20,USD,-1191.86,1.1135,-1.19,-2.54,-1195.60,26377693-dc1e-4bd5-a16a-2141854c5fd4
01-06-2021,15:13,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,SWX,TRQX,171,82.3200,USD,-14076.72,USD,-12651.55,1.1126,-12.65,-6.00,-12670.20,ceff040f-93ab-4739-81b2-283d60e550ef
